id,product gcmd id,sds name,product,product version,processing level,measurements,keywords,time interval,spatial resolution,instrument,platform,platform instrument
NLDAS_NOAH0125_H_002_evpsfc,GES_DISC_NLDAS_NOAH0125_H_V002,evpsfc,NLDAS_NOAH0125_H,002,4,Evapotranspiration,Evapotranspiration;total;NLDAS;Phase 2;Noah;Land;Surface;Model;DataFields;Evapotranspiration;NLDAS_NOAH0125_H,hourly,0.125 deg.,NLDAS Noah Land Surface Model,NLDAS Noah Land Surface Model,NLDAS Model
NLDAS_NOAH0125_H_002_soilm0_10cm,GES_DISC_NLDAS_NOAH0125_H_V002,soilm0_10cm,NLDAS_NOAH0125_H,002,4,Soil Moisture,Soil;moisture;content;layer;1;0-10;cm;NLDAS;Phase 2;Noah;Land;Surface;Model;DataFields;Soil moisture;NLDAS_NOAH0125_H,hourly,0.125 deg.,NLDAS Noah Land Surface Model,NLDAS Noah Land Surface Model,NLDAS Model
NLDAS_NOAH0125_H_002_soilm0_100cm,GES_DISC_NLDAS_NOAH0125_H_V002,soilm0_100cm,NLDAS_NOAH0125_H,002,4,Soil Moisture,Soil;moisture;content;top;1;meter;0-100;cm;NLDAS;Phase 2;Noah;Land;Surface;Model;DataFields;Soil Moisture;NLDAS_NOAH0125_H,hourly,0.125 deg.,NLDAS Noah Land Surface Model,NLDAS Noah Land Surface Model,NLDAS Model
NLDAS_NOAH0125_H_002_soilm0_200cm,GES_DISC_NLDAS_NOAH0125_H_V002,soilm0_200cm,NLDAS_NOAH0125_H,002,4,Soil Moisture,Soil;moisture;content;total;column;0-200;cm;NLDAS;Phase 2;Noah;Land;Surface;Model;DataFields;Soil moisture;NLDAS_NOAH0125_H,hourly,0.125 deg.,NLDAS Noah Land Surface Model,NLDAS Noah Land Surface Model,NLDAS Model
NLDAS_NOAH0125_H_002_soilm10_40cm,GES_DISC_NLDAS_NOAH0125_H_V002,soilm10_40cm,NLDAS_NOAH0125_H,002,4,Soil Moisture,Soil;moisture;content;layer;2;10-40;cm;NLDAS;Phase 2;Noah;Land;Surface;Model;DataFields;Soil moisture;NLDAS_NOAH0125_H,hourly,0.125 deg.,NLDAS Noah Land Surface Model,NLDAS Noah Land Surface Model,NLDAS Model
NLDAS_NOAH0125_H_002_soilm40_100cm,GES_DISC_NLDAS_NOAH0125_H_V002,soilm40_100cm,NLDAS_NOAH0125_H,002,4,Soil Moisture,Soil;moisture;content;layer;3;40-100;cm;NLDAS;Phase 2;Noah;Land;Surface;Model;DataFields;Soil moisture;NLDAS_NOAH0125_H,hourly,0.125 deg.,NLDAS Noah Land Surface Model,NLDAS Noah Land Surface Model,NLDAS Model
NLDAS_NOAH0125_H_002_soilm100_200cm,GES_DISC_NLDAS_NOAH0125_H_V002,soilm100_200cm,NLDAS_NOAH0125_H,002,4,Soil Moisture,Soil;moisture;content;layer;4;100-200;cm;NLDAS;Phase 2;Noah;Land;Surface;Model;DataFields;Soil moisture;NLDAS_NOAH0125_H,hourly,0.125 deg.,NLDAS Noah Land Surface Model,NLDAS Noah Land Surface Model,NLDAS Model
NLDAS_NOAH0125_H_002_ssrunsfc,GES_DISC_NLDAS_NOAH0125_H_V002,ssrunsfc,NLDAS_NOAH0125_H,002,4,Surface Runoff,Surface;runoff;non-infiltrating;NLDAS;Phase 2;Noah;Land;Surface;Model;DataFields;Surface Runoff;NLDAS_NOAH0125_H,hourly,0.125 deg.,NLDAS Noah Land Surface Model,NLDAS Noah Land Surface Model,NLDAS Model
GSSTFM_3_SET1_INT_E,GES_DISC_GSSTFM_3,SET1_INT_E,GSSTFM,3,,Latent Heat Flux,Latent;Heat;Flux;Latent Heat Flux;GSSTF;Surface Turbulent Fluxes;GSSTFM,monthly,0.25 deg.,SSMI,DMSP,SSMI
GSSTFM_3_SET1_INT_H,GES_DISC_GSSTFM_3,SET1_INT_H,GSSTFM,3,,Sensible Heat Flux,Sensible;Heat;Flux;Sensible Heat Flux;GSSTF;Surface Turbulent Fluxes;GSSTFM,monthly,0.25 deg.,SSMI,DMSP,SSMI
GSSTFM_3_SET1_INT_ST_mag,GES_DISC_GSSTFM_3,SET1_INT_ST_mag,GSSTFM,3,,Wind,Wind;Stress;Magnitude;Wind Stress Magnitude;GSSTF;Surface Turbulent Fluxes;GSSTFM,monthly,0.25 deg.,SSMI,DMSP,SSMI
GSSTFM_3_SET1_INT_ST_vec,GES_DISC_GSSTFM_3,SET1_INT_ST_vec,GSSTFM,3,,Wind Stress Direction,Wind;Stress;Vector;Wind Stress Vector;GSSTF;Surface Turbulent Fluxes;GSSTFM,monthly,0.25 deg.,SSMI,DMSP,SSMI
AIRX3STD_006_Temperature_A,GES_DISC_AIRX3STD_V006,Temperature_A,AIRX3STD,006,3,Air Temperature,Atmospheric;Temperature;Profile;daytime;ascending;AIRS;Atmospheric Temperature;Atmospheric Temperature Profile;Air Temperature;Air Temperature Profile,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_Temperature_D,GES_DISC_AIRX3STD_V006,Temperature_D,AIRX3STD,006,3,Air Temperature,Atmospheric;Temperature;Profile;nighttime;descending;AIRS;Atmospheric Temperature;Atmospheric Temperature Profile;Air Temperature;Air Temperature Profile,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_RelHumid_A,GES_DISC_AIRX3STD_V006,RelHumid_A,AIRX3STD,006,3,Atmospheric Moisture,Relative;Humidity;Profile;daytime;ascending;AIRS;Relative Humidity Profile;Relative Humidity,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_RelHumid_D,GES_DISC_AIRX3STD_V006,RelHumid_D,AIRX3STD,006,3,Atmospheric Moisture,Relative;Humidity;Profile;nighttime;descending;AIRS;Relative Humidity Profile;Relative Humidity,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_H2OVapMMR_A,GES_DISC_AIRX3STD_V006,H2OVapMMR_A,AIRX3STD,006,3,Atmospheric Moisture,Humidity;Mixing;Ratio;Profile;daytime;ascending;AIRS;Humidity Mixing Ratio;Humidity Mixing Ratio Profile,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_H2OVapMMR_D,GES_DISC_AIRX3STD_V006,H2OVapMMR_D,AIRX3STD,006,3,Atmospheric Moisture,Humidity;Mixing;Ratio;Profile;nighttime;descending;AIRS;Humidity Mixing Ratio;Humidity Mixing Ratio Profile,daily,1 deg.,AIRS,Aqua,AIRS
NLDAS_FORA0125_H_002_tmp2m,GES_DISC_NLDAS_FORA0125_H_V002,tmp2m,NLDAS_FORA0125_H,002,4,Air Temperature,Temperature;2-m;surface;NLDAS;air;Forcing,hourly,0.125 deg.,NLDAS Primary Forcing Data,NLDAS Primary Forcing Data,NLDAS Model
MOD08_D3_051_Cloud_Effective_Radius_Combined_QA_Mean,MOD08_D3,Cloud_Effective_Radius_Combined_QA_Mean,MOD08_D3,051,3,Cloud Properties,Combined;Cloud;Effective;Radius;Mean;R_eff;Reff;Daily;MODIS-Terra,daily,1 deg.,MODIS,Terra,MODIS-Terra
AIRX3STD_006_TropHeight_A,GES_DISC_AIRX3STD_V006,TropHeight_A,AIRX3STD,006,3,Altitude,Tropopause altitude;AIRS;TropHeight_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_TropHeight_D,GES_DISC_AIRX3STD_V006,TropHeight_D,AIRX3STD,006,3,Altitude,Tropopause altitude;AIRS;TropHeight_D,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_CloudFrc_A,GES_DISC_AIRX3STD_V006,CloudFrc_A,AIRX3STD,006,3,Cloud Fraction,Effective cloud fraction;AIRS;CloudFrc_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_CloudFrc_D,GES_DISC_AIRX3STD_V006,CloudFrc_D,AIRX3STD,006,3,Cloud Fraction,Effective cloud fraction;AIRS;CloudFrc_D,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_CloudTopPres_A,GES_DISC_AIRX3STD_V006,CloudTopPres_A,AIRX3STD,006,3,Cloud Properties,Air pressure at cloud top;AIRS;CloudTopPres_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_CloudTopPres_D,GES_DISC_AIRX3STD_V006,CloudTopPres_D,AIRX3STD,006,3,Cloud Properties,Air pressure at cloud top;AIRS;CloudTopPres_D,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_CloudTopTemp_A,GES_DISC_AIRX3STD_V006,CloudTopTemp_A,AIRX3STD,006,3,Cloud Properties,Air temperature at cloud top;AIRS;CloudTopTemp_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_CloudTopTemp_D,GES_DISC_AIRX3STD_V006,CloudTopTemp_D,AIRX3STD,006,3,Cloud Properties,Air temperature at cloud top;AIRS;CloudTopTemp_D,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_ClrOLR_A,GES_DISC_AIRX3STD_V006,ClrOLR_A,AIRX3STD,006,3,OLR,Toa outgoing longwave flux assuming clear sky;Clear sky outgoing longwave radiation;AIRS;ClrOLR_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_ClrOLR_D,GES_DISC_AIRX3STD_V006,ClrOLR_D,AIRX3STD,006,3,OLR,Toa outgoing longwave flux assuming clear sky;Clear sky outgoing longwave radiation;AIRS;ClrOLR_D,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_GPHeight_A,GES_DISC_AIRX3STD_V006,GPHeight_A,AIRX3STD,006,3,Geopotential,Geopotential Height;AIRS;GPHeight_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_GPHeight_D,GES_DISC_AIRX3STD_V006,GPHeight_D,AIRX3STD,006,3,Geopotential,Geopotential height;AIRS;GPHeight_D,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_H2O_MMR_Surf_A,GES_DISC_AIRX3STD_V006,H2O_MMR_Surf_A,AIRX3STD,006,3,Atmospheric Moisture,Mass fraction of water in dry air at surface;AIRS;H2O_MMR_Surf_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_H2O_MMR_Surf_D,GES_DISC_AIRX3STD_V006,H2O_MMR_Surf_D,AIRX3STD,006,3,Atmospheric Moisture,Mass fraction of water in dry air at surface;AIRS;H2O_MMR_Surf_D,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_OLR_A,GES_DISC_AIRX3STD_V006,OLR_A,AIRX3STD,006,3,OLR,Toa outgoing longwave flux;Outgoing longwave radiation;AIRS;OLR_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_OLR_D,GES_DISC_AIRX3STD_V006,OLR_D,AIRX3STD,006,3,OLR,Toa outgoing longwave flux;Outgoing longwave radiation;AIRS;OLR_D,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_RelHumSurf_A,GES_DISC_AIRX3STD_V006,RelHumSurf_A,AIRX3STD,006,3,Atmospheric Moisture,Surface Relative Humidity;AIRS;RelHumSurf_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_RelHumSurf_D,GES_DISC_AIRX3STD_V006,RelHumSurf_D,AIRX3STD,006,3,Atmospheric Moisture,Surface Relative Humidity;AIRS;RelHumSurf_D,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_SurfAirTemp_A,GES_DISC_AIRX3STD_V006,SurfAirTemp_A,AIRX3STD,006,3,Air Temperature,Air Temperature;Dynamics,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_SurfAirTemp_D,GES_DISC_AIRX3STD_V006,SurfAirTemp_D,AIRX3STD,006,3,Air Temperature,Air Temperature;Dynamics,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_SurfSkinTemp_A,GES_DISC_AIRX3STD_V006,SurfSkinTemp_A,AIRX3STD,006,3,Surface Temperature,Surface Skin Temperature;AIRS;SurfSkinTemp_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_SurfSkinTemp_D,GES_DISC_AIRX3STD_V006,SurfSkinTemp_D,AIRX3STD,006,3,Surface Temperature,Surface Skin Temperature;AIRS;SurfSkinTemp_D,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_TotH2OVap_A,GES_DISC_AIRX3STD_V006,TotH2OVap_A,AIRX3STD,006,3,Atmospheric Moisture,TotH2OVap_A;AIRS daytime atmosphere water vapor content,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_TotH2OVap_D,GES_DISC_AIRX3STD_V006,TotH2OVap_D,AIRX3STD,006,3,Atmospheric Moisture,TotH2OVap_D;AIRS nighttime atmosphere water vapor content,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_TotO3_A,GES_DISC_AIRX3STD_V006,TotO3_A,AIRX3STD,006,3,Ozone,Total ozone;AIRS;TotO3_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_TotO3_D,GES_DISC_AIRX3STD_V006,TotO3_D,AIRX3STD,006,3,Ozone,Total ozone;AIRS;TotO3_D,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_TropPres_A,GES_DISC_AIRX3STD_V006,TropPres_A,AIRX3STD,006,3,Air Pressure,Tropopause air pressure;AIRS;TropPres_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_TropPres_D,GES_DISC_AIRX3STD_V006,TropPres_D,AIRX3STD,006,3,Air Pressure,Tropopause air pressure;AIRS;TropPres_D,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_TropTemp_A,GES_DISC_AIRX3STD_V006,TropTemp_A,AIRX3STD,006,3,Air Temperature,Tropopause air temperature;AIRS;TropTemp_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_TropTemp_D,GES_DISC_AIRX3STD_V006,TropTemp_D,AIRX3STD,006,3,Air Temperature,Tropopause air temperature;AIRS;TropTemp_D,daily,1 deg.,AIRS,Aqua,AIRS
MOD08_M3_051_Optical_Depth_Land_And_Ocean_Mean_Mean,MOD08_M3,Optical_Depth_Land_And_Ocean_Mean_Mean,MOD08_M3,051,3,Total Aerosol Optical Depth,Aerosol;Optical;Thickness;0.55;microns;both;Ocean;best;Land;corrected;Mean;Daily;Mean;550;Monthly,monthly,1 deg.,MODIS,Terra,MODIS-Terra
MOD08_M3_051_Optical_Depth_Land_And_Ocean_Pixel_Counts,MOD08_M3,Optical_Depth_Land_And_Ocean_Pixel_Counts,MOD08_M3,051,3,Statistics,Aerosol;Optical;Thickness;0.55;microns;both;Ocean;best;Land;corrected;Total;Level-3;Input;Pixel;Daily;Counts;550;Monthly,monthly,1 deg.,MODIS,Terra,MODIS-Terra
MOD08_M3_051_Deep_Blue_Aerosol_Optical_Depth_550_Land_QA_Mean_Mean,MOD08_M3,Deep_Blue_Aerosol_Optical_Depth_550_Land_QA_Mean_Mean,MOD08_M3,051,3,Total Aerosol Optical Depth,Deep;blue;aerosol;optical;depth;0.55;microns;land;corrected;Mean;Daily;Mean;550;Deep blue;aerosol optical depth;AOD;Deep blue;Monthly,monthly,1 deg.,MODIS,Terra,MODIS-Terra
MYD08_M3_051_Deep_Blue_Aerosol_Optical_Depth_550_Land_QA_Mean_Mean,MYD08_M3,Deep_Blue_Aerosol_Optical_Depth_550_Land_QA_Mean_Mean,MYD08_M3,051,3,Aerosol Optical Depth,0.55;monthly;550;.55;Land-only;QA-weighted,monthly,1 deg.,MODIS,Aqua,MODIS-Aqua
MYD08_M3_051_Optical_Depth_Land_And_Ocean_Mean_Mean,MYD08_M3,Optical_Depth_Land_And_Ocean_Mean_Mean,MYD08_M3,051,3,Aerosol Optical Depth,550;Monthly;0.55;.55;Dark Target,monthly,1 deg.,MODIS,Aqua,MODIS-Aqua
MYD08_M3_051_Optical_Depth_Land_And_Ocean_Pixel_Counts,MYD08_M3,Optical_Depth_Land_And_Ocean_Pixel_Counts,MYD08_M3,051,3,Pixel Counts,monthly;Thickness;0.55;.55;550;dark target,monthly,1 deg.,MODIS,Aqua,MODIS-Aqua
AIRX3STD_006_TotCH4_A,GES_DISC_AIRX3STD_V006,TotCH4_A,AIRX3STD,006,3,CH4,Atmosphere mass content of methane;Total methane;AIRS;TotCH4_A,daily,1 deg.,AIRS,Aqua,AIRS
AIRX3STD_006_TotCH4_D,GES_DISC_AIRX3STD_V006,TotCH4_D,AIRX3STD,006,3,CH4,Atmosphere mass content of methane;Total methane;AIRS;TotCH4_D,daily,1 deg.,AIRS,Aqua,AIRS
SWDB_L305_004_aerosol_optical_thickness_550_land_ocean,GES_DISC_SWDB_L305_V004,aerosol_optical_thickness_550_land_ocean,SWDB_L305,004,3,Total Aerosol Optical Depth,Aerosol;AOD;AOT;550 nm;SeaWiFS;Aerosol Optical Depth;Aerosol Optical Thickness;Total Aerosol Optical Depth;Deep Blue;SeaWiFS Deep Blue;SWDB_L305;Aerosols;Daily,daily,0.5 deg.,SeaWiFS,OrbView-2,SeaWiFS
SWDB_L305_004_aerosol_optical_thickness_550_land,GES_DISC_SWDB_L305_V004,aerosol_optical_thickness_550_land,SWDB_L305,004,3,Total Aerosol Optical Depth,Aerosol;AOD;AOT;550 nm;Land;SeaWiFS;Aerosol Optical Depth;Aerosol Optical Thickness;Total Aerosol Optical Depth;Deep Blue;SeaWiFS Deep Blue;SWDB_L305;Aerosols;Daily,daily,0.5 deg.,SeaWiFS,OrbView-2,SeaWiFS
SWDB_L305_004_aerosol_optical_thickness_550_ocean,GES_DISC_SWDB_L305_V004,aerosol_optical_thickness_550_ocean,SWDB_L305,004,3,Total Aerosol Optical Depth,Aerosol;AOD;AOT;550 nm;Ocean;SeaWiFS;Aerosol Optical Depth;Aerosol Optical Thickness;Total Aerosol Optical Depth;Deep Blue;SeaWiFS Deep Blue;SWDB_L305;Aerosols;Daily,daily,0.5 deg.,SeaWiFS,OrbView-2,SeaWiFS
SWDB_L310_004_aerosol_optical_thickness_550_land_ocean,GES_DISC_SWDB_L310_V004,aerosol_optical_thickness_550_land_ocean,SWDB_L310,004,3,Total Aerosol Optical Depth,Aerosol;AOT;Aerosol Optical Thickness;550 nm;SeaWiFS;Aerosol Optical Depth;AOD;Total Aerosol Optical Depth;Deep Blue;SeaWiFS Deep Blue;SWDB_L310;Aerosols;Daily,daily,1 deg.,SeaWiFS,OrbView-2,SeaWiFS
SWDB_L310_004_aerosol_optical_thickness_550_land,GES_DISC_SWDB_L310_V004,aerosol_optical_thickness_550_land,SWDB_L310,004,3,Total Aerosol Optical Depth,Aerosol;AOT;Aerosol Optical Thickness;550 nm;Land;SeaWiFS;Aerosol Optical Depth;AOD;Total Aerosol Optical Depth;Deep Blue;SeaWiFS Deep Blue;SWDB_L310;Aerosols;Daily,daily,1 deg.,SeaWiFS,OrbView-2,SeaWiFS
SWDB_L310_004_aerosol_optical_thickness_550_ocean,GES_DISC_SWDB_L310_V004,aerosol_optical_thickness_550_ocean,SWDB_L310,004,3,Total Aerosol Optical Depth,Aerosol;AOT;Aerosol Optical Thickness;550 nm;Ocean-only;SeaWiFS;Aerosol Optical Depth;AOD;Total Aerosol Optical Depth;Deep Blue;SeaWiFS Deep Blue;SWDB_L310;Aerosols;Daily,daily,1 deg.,SeaWiFS,OrbView-2,SeaWiFS
SWDB_L3M05_004_aerosol_optical_thickness_550_land_ocean,GES_DISC_SWDB_L3M05_V004,aerosol_optical_thickness_550_land_ocean,SWDB_L3M05,004,3,Total Aerosol Optical Depth,Aerosol;AOD;AOT;550 nm;SeaWiFS;Aerosol Optical Depth;Aerosol Optical Thickness;Total Aerosol Optical Depth;Deep Blue;SeaWiFS Deep Blue;SWDB_L3M05;Aerosols;Monthly,monthly,0.5 deg.,SeaWiFS,OrbView-2,SeaWiFS
SWDB_L3M05_004_aerosol_optical_thickness_550_land,GES_DISC_SWDB_L3M05_V004,aerosol_optical_thickness_550_land,SWDB_L3M05,004,3,Total Aerosol Optical Depth,Aerosol;AOD;AOT;550 nm;Land;SeaWiFS;Aerosol Optical Depth;Aerosol Optical Thickness;Total Aerosol Optical Depth;Deep Blue;SeaWiFS Deep Blue;SWDB_L3M05;Aerosols;Monthly,monthly,0.5 deg.,SeaWiFS,OrbView-2,SeaWiFS
